"Reference","Value","Datasheet","Footprint","Qty","DNP"
"U2","M24C02-FMN","http://www.st.com/content/ccc/resource/technical/document/datasheet/b0/d8/50/40/5a/85/49/6f/DM00071904.pdf/files/DM00071904.pdf/jcr:content/translations/en.DM00071904.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","ESDA5V3SC5","https://www.st.com/resource/en/datasheet/esda5v3sc6.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"U4","OPA2397DGKR","https://www.ti.com/lit/ds/symlink/opa397.pdf?ts=1748528678280&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPA397","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U5","OPA2397DGKR","https://www.ti.com/lit/ds/symlink/opa397.pdf?ts=1748528678280&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPA397","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U6","TPS22929D","http://www.ti.com/lit/ds/symlink/tps22929d.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"U7","REF3040","http://www.ti.com/lit/ds/symlink/ref3033.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"U8","REF3025","http://www.ti.com/lit/ds/symlink/ref3033.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"U9","ESDA5V3SC5","https://www.st.com/resource/en/datasheet/esda5v3sc6.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"U11","OPA2397DGKR","https://www.ti.com/lit/ds/symlink/opa397.pdf?ts=1748528678280&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FOPA397","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U13","TLV4387","https://www.ti.com/lit/ds/symlink/tlv2387.pdf?ts=1748539346733&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTLV2387","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U17","DHT20","https://www.adafruit.com/product/5183","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left","1",""
